Unnamed: 0,question_text,question_tokens,answer
311,name of the king in black panther movie,"['name', 'of', 'the', 'king', 'in', 'black', 'panther', 'movie']", T'Challa
314,the organization that formulates generally accepted accounting principles is,"['the', 'organization', 'that', 'formulates', 'generally', 'accepted', 'accounting', 'principles', 'is']"," the AcSB for profit and not for profit organizations , the Public Sector Accounting Standards board for the public sector , and the Auditing Standards Board for the auditing sections"
315,who plays jimmy's voice in gta 5,"['who', 'plays', 'jimmy', ""'s"", 'voice', 'in', 'gta', '5']", Daniel Paul Tamberelli
320,who wrote song i can't help falling in love with you,"['who', 'wrote', 'song', 'i', 'ca', 'n', ""'t"", 'help', 'falling', 'in', 'love', 'with', 'you']"," Hugo Peretti , Luigi Creatore , and George David Weiss"
321,when did the last survivor of ww1 die,"['when', 'did', 'the', 'last', 'survivor', 'of', 'ww1', 'die']", Florence Green
323,who sings the song saturday in the park,"['who', 'sings', 'the', 'song', 'saturday', 'in', 'the', 'park']", Chicago
330,what network is the marvelous mrs. meisel on,"['what', 'network', 'is', 'the', 'marvelous', 'mrs.', 'meisel', 'on']", Amazon Video
333,when did females get the right to vote in usa,"['when', 'did', 'females', 'get', 'the', 'right', 'to', 'vote', 'in', 'usa']", nationally in 1920
336,when did the age to vote changed to 18,"['when', 'did', 'the', 'age', 'to', 'vote', 'changed', 'to', '18']", 1971
337,when did the fifth generation ipad come out,"['when', 'did', 'the', 'fifth', 'generation', 'ipad', 'come', 'out']"," March 24 , 2017"
341,when was the shot clock introduced to basketball,"['when', 'was', 'the', 'shot', 'clock', 'introduced', 'to', 'basketball']", 1954 -- 55 season
343,who become the first president of south africa in 1994,"['who', 'become', 'the', 'first', 'president', 'of', 'south', 'africa', 'in', '1994']", Nelson Rolihlahla Mandela
344,who is considered a veteran of the military,"['who', 'is', 'considered', 'a', 'veteran', 'of', 'the', 'military']", a person who has served or is serving in the armed forces
345,who sang the theme song for the jeffersons,"['who', 'sang', 'the', 'theme', 'song', 'for', 'the', 'jeffersons']", Ja'net Dubois
347,where is gambia located on the world map,"['where', 'is', 'gambia', 'located', 'on', 'the', 'world', 'map']", Africa that is entirely surrounded by Senegal except for its coastline on the Atlantic Ocean at
348,who plays the fbi agent on goliath season 2,"['who', 'plays', 'the', 'fbi', 'agent', 'on', 'goliath', 'season', '2']", James Wolk
349,who is the guy in the sprint commercial,"['who', 'is', 'the', 'guy', 'in', 'the', 'sprint', 'commercial']", Paul Marcarelli
350,who played the clown in the movie it 1990,"['who', 'played', 'the', 'clown', 'in', 'the', 'movie', 'it', '1990']", Tim Curry
356,when was the last time eagles made it to super bowl,"['when', 'was', 'the', 'last', 'time', 'eagles', 'made', 'it', 'to', 'super', 'bowl']", 2017
357,the wizard of oz what did the tin man want,"['the', 'wizard', 'of', 'oz', 'what', 'did', 'the', 'tin', 'man', 'want']", heart
362,who plays gale in think like a man,"['who', 'plays', 'gale', 'in', 'think', 'like', 'a', 'man']", Wendy Williams
366,when does bendy and the ink machine come out on nintendo switch,"['when', 'does', 'bendy', 'and', 'the', 'ink', 'machine', 'come', 'out', 'on', 'nintendo', 'switch']", sometime in October 2018
369,where are the headwaters of the colorado river in texas,"['where', 'are', 'the', 'headwaters', 'of', 'the', 'colorado', 'river', 'in', 'texas']"," south of Lubbock , on the Llano Estacado , near Lamesa"
372,what is estella's last name in great expectations,"['what', 'is', 'estella', ""'s"", 'last', 'name', 'in', 'great', 'expectations']", Havisham
373,when's the last time a hurricane hit texas,"['when', ""'s"", 'the', 'last', 'time', 'a', 'hurricane', 'hit', 'texas']", 2017
376,what is the call me by your name movie about,"['what', 'is', 'the', 'call', 'me', 'by', 'your', 'name', 'movie', 'about']"," the romantic relationship between Elio Perlman ( Timothée Chalamet ) , a 17 - year - old living in Italy , and his father 's 24 - year - old American assistant , Oliver ( Armie Hammer )"
380,when did the abbasid empire start and end,"['when', 'did', 'the', 'abbasid', 'empire', 'start', 'and', 'end']", 750 -- 1258
381,who won the war between india and pakistan in 1971,"['who', 'won', 'the', 'war', 'between', 'india', 'and', 'pakistan', 'in', '1971']", Indian victory
382,what is the rating of the new power rangers movie,"['what', 'is', 'the', 'rating', 'of', 'the', 'new', 'power', 'rangers', 'movie']", PG - 13
384,where did the montgomery bus boycott take place,"['where', 'did', 'the', 'montgomery', 'bus', 'boycott', 'take', 'place']"," Montgomery , Alabama"
385,first country to declare independence from the soviet union,"['first', 'country', 'to', 'declare', 'independence', 'from', 'the', 'soviet', 'union']", Lithuania
391,who has the most consecutive wins in major league baseball,"['who', 'has', 'the', 'most', 'consecutive', 'wins', 'in', 'major', 'league', 'baseball']", 1916 New York Giants
393,who sang rock and roll is here to stay,"['who', 'sang', 'rock', 'and', 'roll', 'is', 'here', 'to', 'stay']", Danny & the Juniors
394,which state is the birthplace of the most us presidents,"['which', 'state', 'is', 'the', 'birthplace', 'of', 'the', 'most', 'us', 'presidents']", Virginia
399,what is the state of matter of sulfuric acid,"['what', 'is', 'the', 'state', 'of', 'matter', 'of', 'sulfuric', 'acid']"," colorless odorless syrupy liquid that is soluble in water , in a reaction that is highly exothermic"
400,what is the pig called in charlotte's web,"['what', 'is', 'the', 'pig', 'called', 'in', 'charlotte', ""'s"", 'web']", Wilbur
403,where is the ural mountains located on a map,"['where', 'is', 'the', 'ural', 'mountains', 'located', 'on', 'a', 'map']", from the coast of the Arctic Ocean to the Ural River and northwestern Kazakhstan
405,when did the last episode of being mary jane air,"['when', 'did', 'the', 'last', 'episode', 'of', 'being', 'mary', 'jane', 'air']"," September 19 , 2017"
407,what episode of glee does quinn tell finn she's pregnant,"['what', 'episode', 'of', 'glee', 'does', 'quinn', 'tell', 'finn', 'she', ""'s"", 'pregnant']", the fourth episode
408,in the nba who has the most championships,"['in', 'the', 'nba', 'who', 'has', 'the', 'most', 'championships']", Boston Celtics center Bill Russell
410,working on data according to instruction is called,"['working', 'on', 'data', 'according', 'to', 'instruction', 'is', 'called']", algorithm
411,where is ghost whisperer supposed to take place,"['where', 'is', 'ghost', 'whisperer', 'supposed', 'to', 'take', 'place']"," Grandview , New York"
414,who sings let it go in the frozen movie,"['who', 'sings', 'let', 'it', 'go', 'in', 'the', 'frozen', 'movie']", American actress and singer Idina Menzel in her vocal role as Queen Elsa
418,lucy discovered in ethiopia is an example of the species,"['lucy', 'discovered', 'in', 'ethiopia', 'is', 'an', 'example', 'of', 'the', 'species']", the hominin species Australopithecus afarensis
421,how many languages are included in the 8th schedule of constitution,"['how', 'many', 'languages', 'are', 'included', 'in', 'the', '8th', 'schedule', 'of', 'constitution']", 22
422,where does the boutineer go on a tux,"['where', 'does', 'the', 'boutineer', 'go', 'on', 'a', 'tux']", shirt or jacket
423,what year did law & order svu air,"['what', 'year', 'did', 'law', '&', 'order', 'svu', 'air']"," premiered on NBC on September 20 , 1999"
427,when did oakland raiders move to los angeles,"['when', 'did', 'oakland', 'raiders', 'move', 'to', 'los', 'angeles']", 1982
430,who has more total goals messi or ronaldo,"['who', 'has', 'more', 'total', 'goals', 'messi', 'or', 'ronaldo']", Cristiano Ronaldo
431,who played mary on its a wonderful life,"['who', 'played', 'mary', 'on', 'its', 'a', 'wonderful', 'life']", Donna Reed
435,how many times has ozzy played on survivor,"['how', 'many', 'times', 'has', 'ozzy', 'played', 'on', 'survivor']", four
437,pregnancy tests are based on the detection of ___ in the urine,"['pregnancy', 'tests', 'are', 'based', 'on', 'the', 'detection', 'of', '--', '--', '--', 'in', 'the', 'urine']", human chorionic gonadotropin ( hCG )
438,who is the actor that plays kurt seyit,"['who', 'is', 'the', 'actor', 'that', 'plays', 'kurt', 'seyit']", Kıvanç Tatlıtuğ
442,where is the hound from in game of thrones,"['where', 'is', 'the', 'hound', 'from', 'in', 'game', 'of', 'thrones']", Westeros
446,who does george nelson represent in o brother where art thou,"['who', 'does', 'george', 'nelson', 'represent', 'in', 'o', 'brother', 'where', 'art', 'thou']", Michael Badalucco
447,who played jeannie in i dream of jeannie,"['who', 'played', 'jeannie', 'in', 'i', 'dream', 'of', 'jeannie']", Barbara Eden ( born Barbara Jean Morehead
449,when did milwaukee brewers move to the nl,"['when', 'did', 'milwaukee', 'brewers', 'move', 'to', 'the', 'nl']", 1998
450,who played alice tinkers sister in vicar of dibley,"['who', 'played', 'alice', 'tinkers', 'sister', 'in', 'vicar', 'of', 'dibley']", Mel Giedroyc
454,when did the battle of normandy take place,"['when', 'did', 'the', 'battle', 'of', 'normandy', 'take', 'place']", 6 June 1944 -- mid-July 1944
457,who is the chief minister of jammu and kashmir 2013,"['who', 'is', 'the', 'chief', 'minister', 'of', 'jammu', 'and', 'kashmir', '2013']", Omar Abdullah
464,who is the voice of the clown in toy story 3,"['who', 'is', 'the', 'voice', 'of', 'the', 'clown', 'in', 'toy', 'story', '3']", William Everett `` Bud '' Luckey
465,who wrote the theme song for that 70's show,"['who', 'wrote', 'the', 'theme', 'song', 'for', 'that', '70', ""'s"", 'show']", Alex Chilton
469,who scored the most goals in 2014 world cup,"['who', 'scored', 'the', 'most', 'goals', 'in', '2014', 'world', 'cup']", James Rodríguez
471,when is the next spongebob movie coming out,"['when', 'is', 'the', 'next', 'spongebob', 'movie', 'coming', 'out']"," July 22 , 2020"
475,the wall of seperation between church and state is best found in what clause of the constitution,"['the', 'wall', 'of', 'seperation', 'between', 'church', 'and', 'state', 'is', 'best', 'found', 'in', 'what', 'clause', 'of', 'the', 'constitution']", first amendment to the US Constitution
476,who won the battle of new orleans 1812,"['who', 'won', 'the', 'battle', 'of', 'new', 'orleans', '1812']", American
477,in ecology what term is used to describe the wise management of natural resources,"['in', 'ecology', 'what', 'term', 'is', 'used', 'to', 'describe', 'the', 'wise', 'management', 'of', 'natural', 'resources']", natural resource management
481,where is the board going when the plane crashes greys anatomy,"['where', 'is', 'the', 'board', 'going', 'when', 'the', 'plane', 'crashes', 'greys', 'anatomy']", Boise
483,when did daylight savings time begin what year,"['when', 'did', 'daylight', 'savings', 'time', 'begin', 'what', 'year']", 1916
484,when did the first episode of game of thrones premiere,"['when', 'did', 'the', 'first', 'episode', 'of', 'game', 'of', 'thrones', 'premiere']"," April 17 , 2011"
488,when have england reached the world cup semi finals,"['when', 'have', 'england', 'reached', 'the', 'world', 'cup', 'semi', 'finals']", 1966
491,who was the first person who made anime,"['who', 'was', 'the', 'first', 'person', 'who', 'made', 'anime']", Ōten Shimokawa
496,which is the oldest language telugu or kannada,"['which', 'is', 'the', 'oldest', 'language', 'telugu', 'or', 'kannada']", Kannada
500,box office collection of star wars the force awakens,"['box', 'office', 'collection', 'of', 'star', 'wars', 'the', 'force', 'awakens']", $2.068 billion
503,the commodity that benefited most by the steam engine initially in the english empire was,"['the', 'commodity', 'that', 'benefited', 'most', 'by', 'the', 'steam', 'engine', 'initially', 'in', 'the', 'english', 'empire', 'was']", mining
510,who plays nicola in pie in the sky,"['who', 'plays', 'nicola', 'in', 'pie', 'in', 'the', 'sky']", Samantha Janus
514,when was the last time england got through to the world cup quarter finals,"['when', 'was', 'the', 'last', 'time', 'england', 'got', 'through', 'to', 'the', 'world', 'cup', 'quarter', 'finals']", 2018
515,switched at birth how did they find out,"['switched', 'at', 'birth', 'how', 'did', 'they', 'find', 'out']", discovers from a school lab assignment that her AB blood type is incompatible with her type A / O parents
520,where does the saying calling the kettle black come from,"['where', 'does', 'the', 'saying', 'calling', 'the', 'kettle', 'black', 'come', 'from']", Spanish
521,who plays freddy in school of rock nickelodeon,"['who', 'plays', 'freddy', 'in', 'school', 'of', 'rock', 'nickelodeon']", Ricardo Hurtado
524,who is the person with most instagram followers,"['who', 'is', 'the', 'person', 'with', 'most', 'instagram', 'followers']", Selena Gomez
525,how many episodes in season 3 of sons of anarchy,"['how', 'many', 'episodes', 'in', 'season', '3', 'of', 'sons', 'of', 'anarchy']", 13
526,where is the book noughts and crosses set,"['where', 'is', 'the', 'book', 'noughts', 'and', 'crosses', 'set']", a fictional dystopia
530,what was the first song to be played on radio 1,"['what', 'was', 'the', 'first', 'song', 'to', 'be', 'played', 'on', 'radio', '1']"," `` Theme One '' , specially composed for the launch by George Martin"
534,where did the whole 9 yards come from,"['where', 'did', 'the', 'whole', '9', 'yards', 'come', 'from']", unknown
538,when did the royal flying doctor service start,"['when', 'did', 'the', 'royal', 'flying', 'doctor', 'service', 'start']", May 1928
539,a blend of capitalism and socialism is known as,"['a', 'blend', 'of', 'capitalism', 'and', 'socialism', 'is', 'known', 'as']", A mixed economy
540,what is the tallest mountain east of the mississippi river,"['what', 'is', 'the', 'tallest', 'mountain', 'east', 'of', 'the', 'mississippi', 'river']", Mount Mitchell
541,who is the voice over on the goldbergs,"['who', 'is', 'the', 'voice', 'over', 'on', 'the', 'goldbergs']", Patton Oswalt
542,where was the movie dogs of war filmed,"['where', 'was', 'the', 'movie', 'dogs', 'of', 'war', 'filmed']"," Miami Glider Port southwest of Miami , Florida"
551,who won the women's premier league 2017,"['who', 'won', 'the', 'women', ""'s"", 'premier', 'league', '2017']", Tottenham Hotspur
552,what is the most famous sport in argentina,"['what', 'is', 'the', 'most', 'famous', 'sport', 'in', 'argentina']", Association football
554,which indian language is known as kohinoor language,"['which', 'indian', 'language', 'is', 'known', 'as', 'kohinoor', 'language']", Urdu
557,where does the mid atlantic ridge start and end,"['where', 'does', 'the', 'mid', 'atlantic', 'ridge', 'start', 'and', 'end']", from a junction with the Gakkel Ridge ( Mid-Arctic Ridge ) northeast of Greenland southward to the Bouvet Triple Junction in the South Atlantic
559,when does senate tax bill go into effect,"['when', 'does', 'senate', 'tax', 'bill', 'go', 'into', 'effect']"," January 1 , 2018"
560,why do renal pyramids have a striped appearance,"['why', 'do', 'renal', 'pyramids', 'have', 'a', 'striped', 'appearance']", because they are formed by straight parallel segments of nephrons and collecting ducts
561,who sings vocals on new kid in town,"['who', 'sings', 'vocals', 'on', 'new', 'kid', 'in', 'town']", Glenn Frey
565,which indian language has official status in singapore,"['which', 'indian', 'language', 'has', 'official', 'status', 'in', 'singapore']", Tamil
569,where did freedom of the press come from,"['where', 'did', 'freedom', 'of', 'the', 'press', 'come', 'from']", First Amendment to the United States Constitution
572,what is it called when you copy someone's signature,"['what', 'is', 'it', 'called', 'when', 'you', 'copy', 'someone', ""'s"", 'signature']", Signature forgery
575,where does the bow river meet the south saskatchewan,"['where', 'does', 'the', 'bow', 'river', 'meet', 'the', 'south', 'saskatchewan']"," at the confluence of the Bow and Oldman Rivers near Grassy Lake , Alberta"
576,who has the most goals this world cup,"['who', 'has', 'the', 'most', 'goals', 'this', 'world', 'cup']", Harry Kane
578,what is the name of the old sears tower in chicago,"['what', 'is', 'the', 'name', 'of', 'the', 'old', 'sears', 'tower', 'in', 'chicago']", The Willis Tower
580,where was the film all the money in the world filmed,"['where', 'was', 'the', 'film', 'all', 'the', 'money', 'in', 'the', 'world', 'filmed']", Elveden Hall in west Suffolk
583,what is the point of a twitter bot,"['what', 'is', 'the', 'point', 'of', 'a', 'twitter', 'bot']", controls a Twitter account
586,when is pretty little liars season 7 episode 19 coming out,"['when', 'is', 'pretty', 'little', 'liars', 'season', '7', 'episode', '19', 'coming', 'out']"," 20 , 2017 ( 2017"
589,who narrates the hitchhiker guide to the galaxy,"['who', 'narrates', 'the', 'hitchhiker', 'guide', 'to', 'the', 'galaxy']", Peter Jones
593,what is the most watched clip on youtube,"['what', 'is', 'the', 'most', 'watched', 'clip', 'on', 'youtube']", Despacito
594,who was the last ruler of the tang dynasty,"['who', 'was', 'the', 'last', 'ruler', 'of', 'the', 'tang', 'dynasty']", Emperor Ai of Tang
595,which mountain man rediscovered south pass and brought back important information about this trail,"['which', 'mountain', 'man', 'rediscovered', 'south', 'pass', 'and', 'brought', 'back', 'important', 'information', 'about', 'this', 'trail']", Jedediah Strong Smith
597,the puritan faith closely followed the teachings of,"['the', 'puritan', 'faith', 'closely', 'followed', 'the', 'teachings', 'of']", Calvinists
598,when did the cold war alignment of britain and the united states versus the soviet union begin,"['when', 'did', 'the', 'cold', 'war', 'alignment', 'of', 'britain', 'and', 'the', 'united', 'states', 'versus', 'the', 'soviet', 'union', 'begin']", 1945
611,when do you split the pot in hold'em,"['when', 'do', 'you', 'split', 'the', 'pot', 'in', ""hold'em""]", where one player has the high hand and two or more players have tied low hands
612,who is the present supreme court chief justice of india,"['who', 'is', 'the', 'present', 'supreme', 'court', 'chief', 'justice', 'of', 'india']", Dipak Misra
614,who wrote the star spangled banner during the war of 1812,"['who', 'wrote', 'the', 'star', 'spangled', 'banner', 'during', 'the', 'war', 'of', '1812']", Francis Scott Key
616,who plays the voice of lois on family guy,"['who', 'plays', 'the', 'voice', 'of', 'lois', 'on', 'family', 'guy']", Alex Borstein
617,what was the original purpose of the rhode island colony,"['what', 'was', 'the', 'original', 'purpose', 'of', 'the', 'rhode', 'island', 'colony']", religious freedom
618,who plays death on bill and ted's bogus journey,"['who', 'plays', 'death', 'on', 'bill', 'and', 'ted', ""'s"", 'bogus', 'journey']", William Sadler
623,how much maternity leave are mothers entitled to in the us,"['how', 'much', 'maternity', 'leave', 'are', 'mothers', 'entitled', 'to', 'in', 'the', 'us']", 12 weeks
625,when did they start using pvc for plumbing,"['when', 'did', 'they', 'start', 'using', 'pvc', 'for', 'plumbing']", in the 1940s
626,when did they find the ruins of pompeii,"['when', 'did', 'they', 'find', 'the', 'ruins', 'of', 'pompeii']", in 1599
633,when was the great wall of china first built,"['when', 'was', 'the', 'great', 'wall', 'of', 'china', 'first', 'built']", 771 -- 476 BC
634,diurnal motion look like from the north pole,"['diurnal', 'motion', 'look', 'like', 'from', 'the', 'north', 'pole']"," looking directly overhead , counterclockwise around the zenith"
637,who sings love in this club with usher,"['who', 'sings', 'love', 'in', 'this', 'club', 'with', 'usher']", Young Jeezy
639,what is the income level for lower middle class,"['what', 'is', 'the', 'income', 'level', 'for', 'lower', 'middle', 'class']"," $32,500 to $60,000"
643,who plays rodrick in the first diary of a wimpy kid,"['who', 'plays', 'rodrick', 'in', 'the', 'first', 'diary', 'of', 'a', 'wimpy', 'kid']", Devon Bostick
644,where is valrico florida located in the state of florida,"['where', 'is', 'valrico', 'florida', 'located', 'in', 'the', 'state', 'of', 'florida']", east - central Hillsborough County
646,when did one piece air on cartoon network,"['when', 'did', 'one', 'piece', 'air', 'on', 'cartoon', 'network']", April 2005
650,who did porto beat in the cl final,"['who', 'did', 'porto', 'beat', 'in', 'the', 'cl', 'final']", Monaco
653,where was the uss gerald ford ship built,"['where', 'was', 'the', 'uss', 'gerald', 'ford', 'ship', 'built']"," Huntington Ingalls ( formerly Northrop Grumman ) Newport News Shipbuilding facilities in Newport News , Virginia"
654,who sang four strong winds with neil young,"['who', 'sang', 'four', 'strong', 'winds', 'with', 'neil', 'young']", Nicolette Larson
657,who plays the daughter in 50 first dates,"['who', 'plays', 'the', 'daughter', 'in', '50', 'first', 'dates']", Drew Barrymore
658,what are the uses of aadhar card in india,"['what', 'are', 'the', 'uses', 'of', 'aadhar', 'card', 'in', 'india']", biometric ID system
661,what does the prime minister of canada get paid,"['what', 'does', 'the', 'prime', 'minister', 'of', 'canada', 'get', 'paid']"," $345,400 ( 2017 )"
662,how old do you have to be to get a tatto without parent consent,"['how', 'old', 'do', 'you', 'have', 'to', 'be', 'to', 'get', 'a', 'tatto', 'without', 'parent', 'consent']", 18 years or older
664,in macroeconomics the economy can best be understood through the use o,"['in', 'macroeconomics', 'the', 'economy', 'can', 'best', 'be', 'understood', 'through', 'the', 'use', 'o']", overall price level
666,when does arthur find out about morgana being evil,"['when', 'does', 'arthur', 'find', 'out', 'about', 'morgana', 'being', 'evil']", `` The Coming of Arthur - Part 1 ''
668,where is the original statue of david housed,"['where', 'is', 'the', 'original', 'statue', 'of', 'david', 'housed']"," Galleria dell'Accademia , Florence , Italy"
669,who plays the evil wizard in lord of the rings,"['who', 'plays', 'the', 'evil', 'wizard', 'in', 'lord', 'of', 'the', 'rings']", Christopher Lee
671,who is the austrian monk whose work with pea plants helped him come up with a theory of heredity,"['who', 'is', 'the', 'austrian', 'monk', 'whose', 'work', 'with', 'pea', 'plants', 'helped', 'him', 'come', 'up', 'with', 'a', 'theory', 'of', 'heredity']", Gregor Johann Mendel
673,what were local court decisions based upon in the early english courts,"['what', 'were', 'local', 'court', 'decisions', 'based', 'upon', 'in', 'the', 'early', 'english', 'courts']", precedent
674,when did the us bomb japan after pearl harbor,"['when', 'did', 'the', 'us', 'bomb', 'japan', 'after', 'pearl', 'harbor']", April 1942
676,who played gaston's son in descendants 2,"['who', 'played', 'gaston', ""'s"", 'son', 'in', 'descendants', '2']", Dylan Playfair
678,when was the last time cowboys went to the superbowl,"['when', 'was', 'the', 'last', 'time', 'cowboys', 'went', 'to', 'the', 'superbowl']", 1995
681,who is the main character in watership down,"['who', 'is', 'the', 'main', 'character', 'in', 'watership', 'down']", Hazel
683,when was the glass pyramid at the louvre built,"['when', 'was', 'the', 'glass', 'pyramid', 'at', 'the', 'louvre', 'built']", 1989
685,who does the voice of templeton in charlotte web,"['who', 'does', 'the', 'voice', 'of', 'templeton', 'in', 'charlotte', 'web']", Paul Lynde
688,who sings reach out i'll be there,"['who', 'sings', 'reach', 'out', 'i', ""'ll"", 'be', 'there']", the Four Tops
691,who killed the girl in the movie horns,"['who', 'killed', 'the', 'girl', 'in', 'the', 'movie', 'horns']", Lee
695,original cast members of real housewives of atlanta,"['original', 'cast', 'members', 'of', 'real', 'housewives', 'of', 'atlanta']", Kim Zolciak
700,whose 47-ball century against england was the only hundred of the main world t20 competition,"['whose', '47-ball', 'century', 'against', 'england', 'was', 'the', 'only', 'hundred', 'of', 'the', 'main', 'world', 't20', 'competition']", Chris Gayle
701,when did the boy in the striped pajamas take place,"['when', 'did', 'the', 'boy', 'in', 'the', 'striped', 'pajamas', 'take', 'place']", World War II
704,what do the letters str stand for as used in forensic science,"['what', 'do', 'the', 'letters', 'str', 'stand', 'for', 'as', 'used', 'in', 'forensic', 'science']", short tandem repeats
706,all dogs go to heaven what kind of dog is charlie,"['all', 'dogs', 'go', 'to', 'heaven', 'what', 'kind', 'of', 'dog', 'is', 'charlie']", German Shepherd
707,how i met your mother read a magazine meaning,"['how', 'i', 'met', 'your', 'mother', 'read', 'a', 'magazine', 'meaning']", masturbation
708,where does wind move from during thermohaline circulation,"['where', 'does', 'wind', 'move', 'from', 'during', 'thermohaline', 'circulation']", global density gradients
709,what branch of the government is the justice department in,"['what', 'branch', 'of', 'the', 'government', 'is', 'the', 'justice', 'department', 'in']", executive
710,when did egypt get the sinai peninsula back,"['when', 'did', 'egypt', 'get', 'the', 'sinai', 'peninsula', 'back']", 1982
731,what part of speech connects words or groups of words examples are for and nor but or yet and so,"['what', 'part', 'of', 'speech', 'connects', 'words', 'or', 'groups', 'of', 'words', 'examples', 'are', 'for', 'and', 'nor', 'but', 'or', 'yet', 'and', 'so']", conjunction
733,what is the first land of stories book,"['what', 'is', 'the', 'first', 'land', 'of', 'stories', 'book']", The Wishing Spell
735,when was the book of 1 timothy written,"['when', 'was', 'the', 'book', 'of', '1', 'timothy', 'written']"," some time in the late 1st century or first half of the 2nd century AD , with a wide margin of uncertainty"
739,how many episodes in penny dreadful series 3,"['how', 'many', 'episodes', 'in', 'penny', 'dreadful', 'series', '3']", 9
740,who wrote the song go away little girl,"['who', 'wrote', 'the', 'song', 'go', 'away', 'little', 'girl']", Gerry Goffin
741,when did the bank of england start quantitative easing,"['when', 'did', 'the', 'bank', 'of', 'england', 'start', 'quantitative', 'easing']", March 2009
744,where did steph curry play college basketball at,"['where', 'did', 'steph', 'curry', 'play', 'college', 'basketball', 'at']", Davidson College
747,who composed the music for blade runner 2049,"['who', 'composed', 'the', 'music', 'for', 'blade', 'runner', '2049']", Hans Zimmer and Benjamin Wallfisch
748,where does the show parks and rec take place,"['where', 'does', 'the', 'show', 'parks', 'and', 'rec', 'take', 'place']"," Pawnee , a fictional town in Indiana"
750,who plays mom on nicky ricky dicky and dawn,"['who', 'plays', 'mom', 'on', 'nicky', 'ricky', 'dicky', 'and', 'dawn']", Allison Munn
754,who presides over the meeting of legislative council,"['who', 'presides', 'over', 'the', 'meeting', 'of', 'legislative', 'council']", President of the Legislative Council
758,when did you rock my world come out,"['when', 'did', 'you', 'rock', 'my', 'world', 'come', 'out']"," August 22 , 2001"
765,which cellular component in the bacterial cell is targeted by ampicillin,"['which', 'cellular', 'component', 'in', 'the', 'bacterial', 'cell', 'is', 'targeted', 'by', 'ampicillin']", inhibits the third and final stage of bacterial cell wall synthesis in binary fission
766,who played billy hazard in north and south,"['who', 'played', 'billy', 'hazard', 'in', 'north', 'and', 'south']", Parker Stevenson
767,who did ed too tall jones play for,"['who', 'did', 'ed', 'too', 'tall', 'jones', 'play', 'for']", the Dallas Cowboys
770,where does water for a well come from,"['where', 'does', 'water', 'for', 'a', 'well', 'come', 'from']", underground aquifers
771,how many times has man united won the champions league,"['how', 'many', 'times', 'has', 'man', 'united', 'won', 'the', 'champions', 'league']", three
772,who is the highest paid baseball player today,"['who', 'is', 'the', 'highest', 'paid', 'baseball', 'player', 'today']", Alex Rodriguez
779,who is singing in the background of gold digger,"['who', 'is', 'singing', 'in', 'the', 'background', 'of', 'gold', 'digger']", Jamie Foxx
780,how many episodes of rurouni kenshin are there,"['how', 'many', 'episodes', 'of', 'rurouni', 'kenshin', 'are', 'there']", 95
781,when did the cavs win their first championship,"['when', 'did', 'the', 'cavs', 'win', 'their', 'first', 'championship']", 2016
784,most points michael jordan scored in a season,"['most', 'points', 'michael', 'jordan', 'scored', 'in', 'a', 'season']"," 3,041"
785,most goals in a premier league season by a player,"['most', 'goals', 'in', 'a', 'premier', 'league', 'season', 'by', 'a', 'player']", Alan Shearer
787,who does rachel from glee end up with,"['who', 'does', 'rachel', 'from', 'glee', 'end', 'up', 'with']", Jesse St. James
789,when did the first aquaman comic come out,"['when', 'did', 'the', 'first', 'aquaman', 'comic', 'come', 'out']", November 1941
790,what state of water is most common on earth's surface,"['what', 'state', 'of', 'water', 'is', 'most', 'common', 'on', 'earth', ""'s"", 'surface']", liquid phase
792,who played the ghost of christmas past in a christmas carol 2009,"['who', 'played', 'the', 'ghost', 'of', 'christmas', 'past', 'in', 'a', 'christmas', 'carol', '2009']", Jim Carrey
797,what is current version of adobe flash player,"['what', 'is', 'current', 'version', 'of', 'adobe', 'flash', 'player']", 27.0. 0.130
801,when was the first pyramids built in egypt,"['when', 'was', 'the', 'first', 'pyramids', 'built', 'in', 'egypt']", 2630 BC -- 2611 BC
804,who played the flying finn in eddie the eagle,"['who', 'played', 'the', 'flying', 'finn', 'in', 'eddie', 'the', 'eagle']", Edvin Endre
805,where does the funding for social security come from,"['where', 'does', 'the', 'funding', 'for', 'social', 'security', 'come', 'from']", payroll taxes
807,when does the sunday times rich list 2018 come out,"['when', 'does', 'the', 'sunday', 'times', 'rich', 'list', '2018', 'come', 'out']"," May 13 , 2018"
810,what is the largest shopping centre in europe,"['what', 'is', 'the', 'largest', 'shopping', 'centre', 'in', 'europe']", intu MetroCentre
817,what is the major occupation of indian citizens,"['what', 'is', 'the', 'major', 'occupation', 'of', 'indian', 'citizens']", Agricultural
818,first person to cross niagara falls on a tightrope,"['first', 'person', 'to', 'cross', 'niagara', 'falls', 'on', 'a', 'tightrope']", Nikolas `` Nik '' Wallenda
820,who wrote erewhom what kind of novel is it,"['who', 'wrote', 'erewhom', 'what', 'kind', 'of', 'novel', 'is', 'it']", Samuel Butler
822,where is the cytoskeleton located in a animal cell,"['where', 'is', 'the', 'cytoskeleton', 'located', 'in', 'a', 'animal', 'cell']", from the nucleus to the plasma membrane
827,who is the original singer of i heard it through the grapevine,"['who', 'is', 'the', 'original', 'singer', 'of', 'i', 'heard', 'it', 'through', 'the', 'grapevine']", Gladys Knight & the Pips
