question_text,question_tokens,predicted_parametric_answers,answer,Unnamed: 0
where did the bee gees grow up in australia,"['where', 'did', 'the', 'bee', 'gees', 'grow', 'up', 'in', 'australia']",redcliffe in queensland," Redcliffe , in Queensland",842
where did the boston marathon bomb go off,"['where', 'did', 'the', 'boston', 'marathon', 'bomb', 'go', 'off']",and boylston street boston massachusetts," 671 -- 673 and 755 Boylston Street , Boston , Massachusetts",3050
where did the catechism of the catholic church come from,"['where', 'did', 'the', 'catechism', 'of', 'the', 'catholic', 'church', 'come', 'from']",pope john paul ii in, Pope John Paul II in 1992,2297
where did the central pacific railroad hire workers from,"['where', 'did', 'the', 'central', 'pacific', 'railroad', 'hire', 'workers', 'from']",chinese emigrant workers, Chinese emigrant workers,3160
where did the cherokee trail of tears start,"['where', 'did', 'the', 'cherokee', 'trail', 'of', 'tears', 'start']",southeastern united states, from their ancestral homelands in the Southeastern United States,3310
where did the chicago bulls play before the united center,"['where', 'did', 'the', 'chicago', 'bulls', 'play', 'before', 'the', 'united', 'center']",chicago stadium, Chicago Stadium,2984
where did the cleveland browns get their name from,"['where', 'did', 'the', 'cleveland', 'browns', 'get', 'their', 'name', 'from']",cleveland ohio," named after a specific person , original coach Paul Brown",4928
where did the colonists of massachusetts come from,"['where', 'did', 'the', 'colonists', 'of', 'massachusetts', 'come', 'from']",pilgrims, English,73
where did the expression going to hell in a handbasket come from,"['where', 'did', 'the', 'expression', 'going', 'to', 'hell', 'in', 'a', 'handbasket', 'come', 'from']",variations on an american allegorical locution of unclear origin, unclear origin,4562
where did the fidget spinner trend come from,"['where', 'did', 'the', 'fidget', 'spinner', 'trend', 'come', 'from']",helping people who have trouble focusing or those who fidget by relieving nervous energy or psychological stress, promoted as helping people who have trouble focusing or those who fidget by relieving nervous energy or psychological stress,3433
where did the first fleet stop on the way to australia,"['where', 'did', 'the', 'first', 'fleet', 'stop', 'on', 'the', 'way', 'to', 'australia']",southwest to rio de janeiro, Rio de Janeiro,5395
where did the french and indian war start,"['where', 'did', 'the', 'french', 'and', 'indian', 'war', 'start']",along the frontiers between new france and the british colonies from virginia in the south to newfoundland in the north it began with a dispute over control of the confluence of the allegheny and monongahela rivers called the forks of the ohio and the site of the french fort duquesne within present day pittsburgh pennsylvania, Pennsylvania,2631
where did the great fire of london end,"['where', 'did', 'the', 'great', 'fire', 'of', 'london', 'end']",inside the old roman city wall, Roman city wall,1665
where did the industrial revolution take place in britain,"['where', 'did', 'the', 'industrial', 'revolution', 'take', 'place', 'in', 'britain']",from the scottish lowlands to the valleys of southern wales, stretched from the Scottish lowlands to the valleys of southern Wales,2992
where did the last name paniagua come from,"['where', 'did', 'the', 'last', 'name', 'paniagua', 'come', 'from']",spanish phrase pan y agua bread and water, Spanish,4788
where did the laurel yanni clip come from,"['where', 'did', 'the', 'laurel', 'yanni', 'clip', 'come', 'from']",from a recording of jay aubrey jones," students who played the sound of the word `` laurel '' ( a laurel wreath ) , while re-recording the playback amid background noise in the room",1105
where did the missouri tigers get their name,"['where', 'did', 'the', 'missouri', 'tigers', 'get', 'their', 'name']",columbia missouri united states, from a band of armed guards called the Fighting Tigers of Columbia,702
where did the name amber alert come from,"['where', 'did', 'the', 'name', 'amber', 'alert', 'come', 'from']",after amber hagerman a year old abducted and murdered in arlington texas, America 's Missing : Broadcast Emergency Response,3147
where did the name scotland yard come from,"['where', 'did', 'the', 'name', 'scotland', 'yard', 'come', 'from']",from the location of the original metropolitan police headquarters at whitehall place, The name derives from the location of the original Metropolitan Police headquarters at 4 Whitehall Place,5922
where did the new form of pneumonia sars start,"['where', 'did', 'the', 'new', 'form', 'of', 'pneumonia', 'sars', 'start']",guangdong province of china," in the Guangdong province of China , which borders on Hong Kong",5004
where did the original texas chainsaw massacre happen,"['where', 'did', 'the', 'original', 'texas', 'chainsaw', 'massacre', 'happen']",round rock texas," Round Rock , Texas ,",5122
where did the phrase out of left field come from,"['where', 'did', 'the', 'phrase', 'out', 'of', 'left', 'field', 'come', 'from']",baseball terminology, from baseball terminology referring to the area covered by the left fielder who has the farthest throw to first base,4044
where did the pittsburgh steelers get their name,"['where', 'did', 'the', 'pittsburgh', 'steelers', 'get', 'their', 'name']",based on the steelmark originally designed by pittsburgh s you s steel," based on the `` Steelmark '' , originally designed by Pittsburgh 's U.S. Steel",4987
where did the saying kill them all let god sort them out,"['where', 'did', 'the', 'saying', 'kill', 'them', 'all', 'let', 'god', 'sort', 'them', 'out']",arnaud amalric latin arnoldus amalricus died was a cistercian abbot who played a prominent role in the albigensian crusade he is remembered for purportedly advising a soldier who was worried about killing orthodox catholics instead of just heretic cathars prior to the sack of b ziers, Arnaud Amalric,4842
where did the story of esther take place,"['where', 'did', 'the', 'story', 'of', 'esther', 'take', 'place']",persia, Persia,4647
where did the story of zorro come from,"['where', 'did', 'the', 'story', 'of', 'zorro', 'come', 'from']",pulp writer johnston mcculley, Johnston McCulley,4050
where did the term lean manufacturing come from,"['where', 'did', 'the', 'term', 'lean', 'manufacturing', 'come', 'from']",japanese manufacturing industry," John Krafcik in his 1988 article , `` Triumph of the Lean Production System '' , based on his master 's thesis at the MIT Sloan School of Management",1723
where did the term safe space come from,"['where', 'did', 'the', 'term', 'safe', 'space', 'come', 'from']",educational institutions," teacher , educational institution , or student body did not tolerate anti-LGBT violence , harassment or hate speech",535
where did the the three kings come from,"['where', 'did', 'the', 'the', 'three', 'kings', 'come', 'from']",from the east, from the east,1497
where did the united kingdom come in the eurovision song contest,"['where', 'did', 'the', 'united', 'kingdom', 'come', 'in', 'the', 'eurovision', 'song', 'contest']",, 24th,3544
where did the white house christmas tree come from this year,"['where', 'did', 'the', 'white', 'house', 'christmas', 'tree', 'come', 'from', 'this', 'year']",douglas fir octono wisconsin," Octono , Wisconsin",2675
where did the zodiac name cancer come from,"['where', 'did', 'the', 'zodiac', 'name', 'cancer', 'come', 'from']",crab, Its name is Latin for crab,2138
where did they film american horror story coven,"['where', 'did', 'they', 'film', 'american', 'horror', 'story', 'coven']",new orleans louisiana, New Orleans,3426
where did they film house on haunted hill,"['where', 'did', 'they', 'film', 'house', 'on', 'haunted', 'hill']",los angeles california," Los Angeles , California",5204
where did they film kong skull island at,"['where', 'did', 'they', 'film', 'kong', 'skull', 'island', 'at']",hawaii, Hawaii,3066
where did they film perks of being a wallflower,"['where', 'did', 'they', 'film', 'perks', 'of', 'being', 'a', 'wallflower']",pittsburgh area, Pittsburgh,3980
where did they film the wolf of wall street,"['where', 'did', 'they', 'film', 'the', 'wolf', 'of', 'wall', 'street']",new york, New York,5044
where did tony work in west side story,"['where', 'did', 'tony', 'work', 'in', 'west', 'side', 'story']",new york city, Doc 's Drugstore,4515
where do all sons and daughters go to church,"['where', 'do', 'all', 'sons', 'and', 'daughters', 'go', 'to', 'church']",journey church in franklin, Journey Church in Franklin,3044
where do army medics go to basic training,"['where', 'do', 'army', 'medics', 'go', 'to', 'basic', 'training']",fort sam houston texas," Fort Sam Houston , Texas",1344
where do boston red sox have spring training,"['where', 'do', 'boston', 'red', 'sox', 'have', 'spring', 'training']",fort myers in lee county florida," Fort Myers in Lee County , Florida",4223
where do cruise ships dock in jacksonville fl,"['where', 'do', 'cruise', 'ships', 'dock', 'in', 'jacksonville', 'fl']",jaxport cruise terminal, The JAXPORT Cruise Terminal,4568
where do i go to get a mortgage loan,"['where', 'do', 'i', 'go', 'to', 'get', 'a', 'mortgage', 'loan']",individuals mortgaging their home or they can be businesses mortgaging commercial property for example their own business premises residential property let to tenants or an investment portfolio the lender will typically be a financial institution such as a bank credit union or building society," will typically be a financial institution , such as a bank , credit union or building society",5511
where do leopard gecko live in the wild,"['where', 'do', 'leopard', 'gecko', 'live', 'in', 'the', 'wild']",eastern and southwestern asia, eastern and southwestern Asia where they are found in arid and semiarid habitats,1629
where do new york giants play home games,"['where', 'do', 'new', 'york', 'giants', 'play', 'home', 'games']",metlife stadium east rutherford, MetLife Stadium,1301
where do the cruise ships leave from miami,"['where', 'do', 'the', 'cruise', 'ships', 'leave', 'from', 'miami']",portmiami, PortMiami,3842
where do the cuts of steak come from,"['where', 'do', 'the', 'cuts', 'of', 'steak', 'come', 'from']",primal cuts pieces of meat initially separated from the carcass, pieces of meat initially separated from the carcass during butchering,2071
where do the himalayan salt lamps come from,"['where', 'do', 'the', 'himalayan', 'salt', 'lamps', 'come', 'from']",punjab region of pakistan, the Punjab region of Pakistan,1876
where do the ilium the ischium and the pubis meet,"['where', 'do', 'the', 'ilium', 'the', 'ischium', 'and', 'the', 'pubis', 'meet']",acetabulum, acetabulum,269
where do the members of take that come from,"['where', 'do', 'the', 'members', 'of', 'take', 'that', 'come', 'from']",manchester england," Manchester , England",5121
where do the new york mets play their home games,"['where', 'do', 'the', 'new', 'york', 'mets', 'play', 'their', 'home', 'games']",citi field, Citi Field,5376
where do the real housewives of new york city live,"['where', 'do', 'the', 'real', 'housewives', 'of', 'new', 'york', 'city', 'live']",orange county it is currently in its ninth season and focuses on the personal and professional lives of several women residing in new york city, New York City,4172
where do the tannins in wine come from,"['where', 'do', 'the', 'tannins', 'in', 'wine', 'come', 'from']",red drupe grapes, plant pigments,4296
where do the testes develop in the embryo,"['where', 'do', 'the', 'testes', 'develop', 'in', 'the', 'embryo']",mesothelial layer of the peritoneum, from the mesothelial layer of the peritoneum,731
where do they film the new lost in space,"['where', 'do', 'they', 'film', 'the', 'new', 'lost', 'in', 'space']",vancouver british columbia," Vancouver , British Columbia",3156
where do they put the chip in dogs,"['where', 'do', 'they', 'put', 'the', 'chip', 'in', 'dogs']",below the skin at the back of the neck, usually inserted below the skin at the back of the neck between the shoulder blades on the dorsal midline,197
where do typhoons that reach the philippines form,"['where', 'do', 'typhoons', 'that', 'reach', 'the', 'philippines', 'form']",atlantic ocean and northeastern pacific ocean, northwestern Pacific Ocean,4334
where do we get our modern word mausoleum from,"['where', 'do', 'we', 'get', 'our', 'modern', 'word', 'mausoleum', 'from']",from the mausoleum at halicarnassus near modern day bodrum in turkey," from the Mausoleum at Halicarnassus ( near modern - day Bodrum in Turkey ) , the grave of King Mausolus , the Persian satrap of Caria , whose large tomb was one of the Seven Wonders of the Ancient World",5281
where do you find the phrase keep ancient land your storied pomp,"['where', 'do', 'you', 'find', 'the', 'phrase', 'keep', 'ancient', 'land', 'your', 'storied', 'pomp']",on the plaque hanging inside the statue of liberty, hanging inside the Statue of Liberty,4670
where does a male dog enter a female dog,"['where', 'does', 'a', 'male', 'dog', 'enter', 'a', 'female', 'dog']",vagina, vagina,3106
where does a sydney funnel web spider live,"['where', 'does', 'a', 'sydney', 'funnel', 'web', 'spider', 'live']",eastern australia, eastern Australia,5639
where does barney work in how i met your mother,"['where', 'does', 'barney', 'work', 'in', 'how', 'i', 'met', 'your', 'mother']",altrucell, Altrucell,6039
where does bile go after it leaves the gallbladder,"['where', 'does', 'bile', 'go', 'after', 'it', 'leaves', 'the', 'gallbladder']",duodenum, duodenum,3732
where does cameron diaz go in the holiday,"['where', 'does', 'cameron', 'diaz', 'go', 'in', 'the', 'holiday']",," Surrey , England",1606
where does cuba lie in relation to the united states,"['where', 'does', 'cuba', 'lie', 'in', 'relation', 'to', 'the', 'united', 'states']",west of the north atlantic ocean, south of the Straits of Florida,3038
where does digestion of fat take place in human digestive system,"['where', 'does', 'digestion', 'of', 'fat', 'take', 'place', 'in', 'human', 'digestive', 'system']",mouth where lingual lipase breaks down some short chain lipids into diglycerides however fats are mainly digested in the small intestine, the mouth,5936
where does dopamine come from in the brain,"['where', 'does', 'dopamine', 'come', 'from', 'in', 'the', 'brain']",neurons and cells in the medulla of the adrenal glands, mainly neurons and cells in the medulla of the adrenal glands,5007
where does esperanza live in the house on mango street,"['where', 'does', 'esperanza', 'live', 'in', 'the', 'house', 'on', 'mango', 'street']",chicago, Chicago,464
where does fear of the walking dead take place,"['where', 'does', 'fear', 'of', 'the', 'walking', 'dead', 'take', 'place']",los angeles california," Los Angeles , California and then later in Mexico",507
where does funding for the military come from,"['where', 'does', 'funding', 'for', 'the', 'military', 'come', 'from']",you s department of defense budget, tax revenues,1138
where does girl with the dragon tattoo take place,"['where', 'does', 'girl', 'with', 'the', 'dragon', 'tattoo', 'take', 'place']",hedeby island, Hedeby Island,4731
where does graphite come from in the world,"['where', 'does', 'graphite', 'come', 'from', 'in', 'the', 'world']",china, China,2581
where does i am princess x take place,"['where', 'does', 'i', 'am', 'princess', 'x', 'take', 'place']",seattle, Seattle,4867
where does jack and rebecca live in this is us,"['where', 'does', 'jack', 'and', 'rebecca', 'live', 'in', 'this', 'is', 'us']",pittsburgh, Pittsburgh,4818
where does marine one land at the white house,"['where', 'does', 'marine', 'one', 'land', 'at', 'the', 'white', 'house']",the south lawn, the South Lawn,5126
where does most of our coffee come from,"['where', 'does', 'most', 'of', 'our', 'coffee', 'come', 'from']",brazil, Brazil,6023
where does puerto rico get its electricity from,"['where', 'does', 'puerto', 'rico', 'get', 'its', 'electricity', 'from']",the puerto rico electric power authority, The Puerto Rico Electric Power Authority,431
where does rasin in the sun take place,"['where', 'does', 'rasin', 'in', 'the', 'sun', 'take', 'place']",washington park subdivision of chicago s woodlawn neighborhood, Washington Park Subdivision of Chicago 's Woodlawn neighborhood,1737
where does sales discounts go on the income statement,"['where', 'does', 'sales', 'discounts', 'go', 'on', 'the', 'income', 'statement']",net sales are operating revenues earned by a company for selling its products or rendering its services also referred to as revenue they are reported directly on the income statement, Sales,3833
where does tap water come from in london,"['where', 'does', 'tap', 'water', 'come', 'from', 'in', 'london']",river thames, River Thames and the River Lee,3995
where does the appalachian trail start in new york,"['where', 'does', 'the', 'appalachian', 'trail', 'start', 'in', 'new', 'york']",bear mountain west through harriman state park to arden, Bear Mountain,5943
where does the big bang theory show take place,"['where', 'does', 'the', 'big', 'bang', 'theory', 'show', 'take', 'place']",pasadena california," Pasadena , California",4536
where does the blood come from when on period,"['where', 'does', 'the', 'blood', 'come', 'from', 'when', 'on', 'period']",the inner lining of the uterus through the vagina, inner lining of the uterus,1011
where does the blueridge parkway start and end,"['where', 'does', 'the', 'blueridge', 'parkway', 'start', 'and', 'end']",miles km through virginia and north carolina counties, U.S. 441 on the boundary between Great Smoky Mountains National Park and the Cherokee Indian Reservation in North Carolina,3901
where does the dark knight rises take place,"['where', 'does', 'the', 'dark', 'knight', 'rises', 'take', 'place']",, Gotham City,3924
where does the eye for an eye come from,"['where', 'does', 'the', 'eye', 'for', 'an', 'eye', 'come', 'from']",hebrew bible, Hebrew bible,833
where does the fdic reserve fund come from,"['where', 'does', 'the', 'fdic', 'reserve', 'fund', 'come', 'from']",member banks, member banks ' insurance dues,2116
where does the first home alone take place,"['where', 'does', 'the', 'first', 'home', 'alone', 'take', 'place']",chicago, Chicago,2400
where does the first name ian come from,"['where', 'does', 'the', 'first', 'name', 'ian', 'come', 'from']",scottish gaelic origin," Scottish Gaelic origin , ultimately derived from Hebrew Yohanan and corresponding to English John",4216
where does the henderson last name come from,"['where', 'does', 'the', 'henderson', 'last', 'name', 'come', 'from']",patronymic form of the name hendry," patronymic form of the name Hendry , which is a Scottish form of Henry",2303
where does the largest halloween parade take place every year,"['where', 'does', 'the', 'largest', 'halloween', 'parade', 'take', 'place', 'every', 'year']",new york, New York,849
where does the last name gaspar come from,"['where', 'does', 'the', 'last', 'name', 'gaspar', 'come', 'from']",french german hungarian italian portuguese and spanish origin," French , German , Hungarian , Italian , Portuguese , and Spanish origin",1287
where does the last name gaytan come from,"['where', 'does', 'the', 'last', 'name', 'gaytan', 'come', 'from']",byzantine greek latin mediterranean origin, Byzantine Greek - Latin Mediterranean origin,5383
where does the last name gomez come from,"['where', 'does', 'the', 'last', 'name', 'gomez', 'come', 'from']",spanish, Spanish,660
where does the last name lyons come from,"['where', 'does', 'the', 'last', 'name', 'lyons', 'come', 'from']",district of the forest of lyons," district of the Forest of Lyons , north of the town of Lyons - la - Forêt in Haute Normandie , where the family seat was the Castle of Lyons",4921
where does the last name montenegro come from,"['where', 'does', 'the', 'last', 'name', 'montenegro', 'come', 'from']",galician origin, Galician origin,810
where does the lub dub sound come from,"['where', 'does', 'the', 'lub', 'dub', 'sound', 'come', 'from']",atrioventricular valves and semilunar valves," produced by the closing of the atrioventricular valves and semilunar valves , respectively",5548
where does the mississippi river get its name,"['where', 'does', 'the', 'mississippi', 'river', 'get', 'its', 'name']",messipi," from Messipi , the French rendering of the Anishinaabe ( Ojibwe or Algonquin ) name for the river , Misi - ziibi ( Great River )",3301
where does the movie fried green tomatoes take place,"['where', 'does', 'the', 'movie', 'fried', 'green', 'tomatoes', 'take', 'place']",anderson alabama nursing home over several encounters with evelyn ninny tells her the story of the now abandoned town of whistle stop, Alabama,1183
where does the movie lady bird take place,"['where', 'does', 'the', 'movie', 'lady', 'bird', 'take', 'place']",sacramento in, Sacramento,4653
where does the movie monster trucks take place,"['where', 'does', 'the', 'movie', 'monster', 'trucks', 'take', 'place']",north dakota, North Dakota,2871
where does the movie wedding crashers take place,"['where', 'does', 'the', 'movie', 'wedding', 'crashers', 'take', 'place']",washington d c, Washington D.C.,1447
where does the name acid rain come from,"['where', 'does', 'the', 'name', 'acid', 'rain', 'come', 'from']",sulfur dioxide and nitrogen oxide, elevated levels of hydrogen ions ( low pH ),4986
where does the name down syndrome come from,"['where', 'does', 'the', 'name', 'down', 'syndrome', 'come', 'from']",john langdon down," John Langdon Down , the British doctor who fully described the syndrome in 1866",145
where does the new it movie take place,"['where', 'does', 'the', 'new', 'it', 'movie', 'take', 'place']",derry maine," Derry , Maine",2925
where does the olive ridley sea turtle live,"['where', 'does', 'the', 'olive', 'ridley', 'sea', 'turtle', 'live']",pacific ridley sea turtle is a medium sized species of sea turtle found in warm and tropical waters primarily in the pacific and indian oceans, Pacific,1138
where does the sand in destin come from,"['where', 'does', 'the', 'sand', 'in', 'destin', 'come', 'from']",crab island was actually two islands made from sand that the army corps of engineers dredged up from the east pass, sand that the Army Corps of Engineers dredged up from the East Pass,2100
where does the show southern charm take place,"['where', 'does', 'the', 'show', 'southern', 'charm', 'take', 'place']",charleston south carolina," Charleston , South Carolina",1957
where does the solar eclipse start and end,"['where', 'does', 'the', 'solar', 'eclipse', 'start', 'and', 'end']",from the pacific to the atlantic coasts, Pacific to the Atlantic coasts,175
where does the song that never ends come from,"['where', 'does', 'the', 'song', 'that', 'never', 'ends', 'come', 'from']",lamb chop s sing along play along by puppeteer shari lewis," Lamb Chop 's Sing - Along , Play - Along",2797
where does the song the prayer come from,"['where', 'does', 'the', 'song', 'the', 'prayer', 'come', 'from']",quest for camelot, Quest for Camelot : Music from the Motion Picture,5782
where does the source of political power in missouri lie,"['where', 'does', 'the', 'source', 'of', 'political', 'power', 'in', 'missouri', 'lie']",the current constitution of missouri, Constitution of Missouri,3174
where does the suffix go in a name,"['where', 'does', 'the', 'suffix', 'go', 'in', 'a', 'name']",follows a person s full name, follows a person 's full name,48
where does the term dead end come from,"['where', 'does', 'the', 'term', 'dead', 'end', 'come', 'from']",french, French,2320
where does the united states get its electricity,"['where', 'does', 'the', 'united', 'states', 'get', 'its', 'electricity']",coal, coal ( 39 % ),692
where does the word bric a brac come from,"['where', 'does', 'the', 'word', 'bric', 'a', 'brac', 'come', 'from']",victorian era, first used in the Victorian era,5683
where is a river runs through it filmed,"['where', 'is', 'a', 'river', 'runs', 'through', 'it', 'filmed']",south central montana, south central Montana in Livingston and Bozeman,3109
where is alaska the last frontier tv show filmed,"['where', 'is', 'alaska', 'the', 'last', 'frontier', 'tv', 'show', 'filmed']",," Fritz Creek , Alaska",5829
where is an eye for an eye found in the bible,"['where', 'is', 'an', 'eye', 'for', 'an', 'eye', 'found', 'in', 'the', 'bible']",code of hammurabi, Exodus,5058
where is archangel raphael mentioned in the bible,"['where', 'is', 'archangel', 'raphael', 'mentioned', 'in', 'the', 'bible']",pool of bethesda, John 5 : 1 -- 4,3208
where is atp synthase located in the mitochondria,"['where', 'is', 'atp', 'synthase', 'located', 'in', 'the', 'mitochondria']",within the thylakoid membrane, thylakoid membrane,4812
where is bone marrow most commonly aspirated for diagnosis,"['where', 'is', 'bone', 'marrow', 'most', 'commonly', 'aspirated', 'for', 'diagnosis']",back of the hipbone or posterior iliac crest," the back of the hipbone , or posterior iliac crest",5109
where is california state university east bay located,"['where', 'is', 'california', 'state', 'university', 'east', 'bay', 'located']",hayward california," Hayward , California",2900
where is cape town located in south africa,"['where', 'is', 'cape', 'town', 'located', 'in', 'south', 'africa']",, Coordinates : 33 ° 55 ′ 31 '' S 18 ° 25 ′ 26 '' E ﻿ / ﻿ 33.92528 ° S 18.42389 ° E,5850
where is castle on the hill based on,"['where', 'is', 'castle', 'on', 'the', 'hill', 'based', 'on']",framlingham castle, Framlingham Castle,4449
where is data stored on a floppy disk,"['where', 'is', 'data', 'stored', 'on', 'a', 'floppy', 'disk']",magnetically coated round plastic medium with a large circular hole in the center for a drive s spindle, magnetically coated round plastic medium with a large circular hole in the center for a drive 's spindle,2830
where is death in paradise tv show filmed,"['where', 'is', 'death', 'in', 'paradise', 'tv', 'show', 'filmed']",guadeloupe, Guadeloupe,6013
where is emily from pretty little liars from,"['where', 'is', 'emily', 'from', 'pretty', 'little', 'liars', 'from']",," Rosewood , Pennsylvania",5110
where is epithelial tissue located in the body,"['where', 'is', 'epithelial', 'tissue', 'located', 'in', 'the', 'body']",cavities and surfaces of blood vessels and organs throughout the body, Epithelial tissues line the cavities and surfaces of blood vessels and organs throughout the body .,2476
where is good morning starshine the earth says hello from,"['where', 'is', 'good', 'morning', 'starshine', 'the', 'earth', 'says', 'hello', 'from']",musical hair, musical Hair,4403
where is harry potter and the prisoner of azkaban filmed,"['where', 'is', 'harry', 'potter', 'and', 'the', 'prisoner', 'of', 'azkaban', 'filmed']",glen coe scotland," Glen Coe , Scotland , near the Clachaig Inn",3274
where is head smashed in buffalo jump located,"['where', 'is', 'head', 'smashed', 'in', 'buffalo', 'jump', 'located']",where the foothills of the rocky mountains begin to rise from the prairie km northwest of fort macleod alberta canada on highway," where the foothills of the Rocky Mountains begin to rise from the prairie 18 km northwest of Fort Macleod , Alberta , Canada on highway 785",4303
where is iceland located on a world map,"['where', 'is', 'iceland', 'located', 'on', 'a', 'world', 'map']",at the juncture of the north atlantic and arctic oceans, at the juncture of the North Atlantic and Arctic Oceans,2719
where is killing of a sacred deer filmed,"['where', 'is', 'killing', 'of', 'a', 'sacred', 'deer', 'filmed']",cincinnati, Cincinnati,1745
where is lactase found in the human body,"['where', 'is', 'lactase', 'found', 'in', 'the', 'human', 'body']",in the brush border of the small intestine, in the brush border of the small intestine,653
where is lake victoria on a world map,"['where', 'is', 'lake', 'victoria', 'on', 'a', 'world', 'map']",african great lakes, Tanzania,4527
where is little italy located in new york city,"['where', 'is', 'little', 'italy', 'located', 'in', 'new', 'york', 'city']",lower manhattan, in Lower Manhattan,865
where is most cotton grown in the united states,"['where', 'is', 'most', 'cotton', 'grown', 'in', 'the', 'united', 'states']",texas california arizona mississippi arkansas and louisiana, Texas,2083
where is most of earths fresh water found,"['where', 'is', 'most', 'of', 'earths', 'fresh', 'water', 'found']",ice caps, in ice caps,2416
where is national open university located in abuja,"['where', 'is', 'national', 'open', 'university', 'located', 'in', 'abuja']",jabi abuja, Jabi,1057
where is north america located on the map,"['where', 'is', 'north', 'america', 'located', 'on', 'the', 'map']",entirely within the northern hemisphere, within the Northern Hemisphere,1598
where is officer candidate school for the navy,"['where', 'is', 'officer', 'candidate', 'school', 'for', 'the', 'navy']",newport rhode island," Newport , Rhode Island",4533
where is peristalsis found in the digestive system,"['where', 'is', 'peristalsis', 'found', 'in', 'the', 'digestive', 'system']",much of a digestive tract such as the human gastrointestinal tract, much of a digestive tract,5855
where is possum kingdom lake located in texas,"['where', 'is', 'possum', 'kingdom', 'lake', 'located', 'in', 'texas']",palo pinto county texas, Palo Pinto County Texas,5749
where is sea level measured in the uk,"['where', 'is', 'sea', 'level', 'measured', 'in', 'the', 'uk']",newlyn in cornwall, Newlyn in Cornwall between 1915 and 1921,329
where is staphylococcus aureus found in the human body,"['where', 'is', 'staphylococcus', 'aureus', 'found', 'in', 'the', 'human', 'body']",nose respiratory tract and on the skin, nose,5302
where is superbowl going to be this year,"['where', 'is', 'superbowl', 'going', 'to', 'be', 'this', 'year']",," U.S. Bank Stadium , Minneapolis , Minnesota",3742
where is the abrahamic covenant found in the bible,"['where', 'is', 'the', 'abrahamic', 'covenant', 'found', 'in', 'the', 'bible']",genesis, Genesis 12 -- 17,5201
where is the biggest rock in the world,"['where', 'is', 'the', 'biggest', 'rock', 'in', 'the', 'world']",mount augustus, Mount Augustus,4472
where is the biggest roller coaster in canada,"['where', 'is', 'the', 'biggest', 'roller', 'coaster', 'in', 'canada']",kingda ka, Canada 's Wonderland,2622
where is the college football national championship played this year,"['where', 'is', 'the', 'college', 'football', 'national', 'championship', 'played', 'this', 'year']",raymond james stadium in tampa florida," Raymond James Stadium in Tampa , Florida",812
where is the college national football championship being played,"['where', 'is', 'the', 'college', 'national', 'football', 'championship', 'being', 'played']",mercedes benz stadium in atlanta georgia," Mercedes - Benz Stadium in Atlanta , Georgia",1001
where is the college softball world series played,"['where', 'is', 'the', 'college', 'softball', 'world', 'series', 'played']",asa hall of fame stadium in oklahoma city, Oklahoma City,2603
where is the delta of the mississippi river,"['where', 'is', 'the', 'delta', 'of', 'the', 'mississippi', 'river']",from vermilion bay on the west to the chandeleur islands in the gulf of mexico on the southeastern coast of louisiana," from Vermilion Bay on the west , to the Chandeleur Islands in the Gulf of Mexico on the southeastern coast of Louisiana",2279
where is the due process clause found in the constitution,"['where', 'is', 'the', 'due', 'process', 'clause', 'found', 'in', 'the', 'constitution']",the fifth and fourteenth amendments to the united states constitution, The Fifth and Fourteenth Amendments,336
where is the electron transport chain of photosynthesis located,"['where', 'is', 'the', 'electron', 'transport', 'chain', 'of', 'photosynthesis', 'located']",in the inner mitochondrial membrane, sunlight,4435
where is the european rugby cup final being played,"['where', 'is', 'the', 'european', 'rugby', 'cup', 'final', 'being', 'played']",san mam s stadium bilbao," San Mamés Stadium , Bilbao",225
where is the green bay packers stadium located,"['where', 'is', 'the', 'green', 'bay', 'packers', 'stadium', 'located']",lambeau field is an outdoor athletic stadium in the north central united states located in green bay wisconsin," Green Bay , Wisconsin",6042
where is the hallmark movie wedding march filmed,"['where', 'is', 'the', 'hallmark', 'movie', 'wedding', 'march', 'filmed']",vancouver and british columbia, Vancouver,4971
where is the hallmark series good witch filmed,"['where', 'is', 'the', 'hallmark', 'series', 'good', 'witch', 'filmed']",middleton usa," Hamilton and Niagara on the Lake , Ontario",783
where is the headquarters for the usga located,"['where', 'is', 'the', 'headquarters', 'for', 'the', 'usga', 'located']",far hills new jersey," Far Hills , New Jersey",5462
where is the heart of palm in a palm tree,"['where', 'is', 'the', 'heart', 'of', 'palm', 'in', 'a', 'palm', 'tree']",inner core and growing bud, the inner core and growing bud,3635
where is the high court of kerala located,"['where', 'is', 'the', 'high', 'court', 'of', 'kerala', 'located']",kochi, Kochi,2173
where is the highest minimum wage in united states,"['where', 'is', 'the', 'highest', 'minimum', 'wage', 'in', 'united', 'states']",massachusetts, Massachusetts,3677
where is the isthmus of panama located on a map,"['where', 'is', 'the', 'isthmus', 'of', 'panama', 'located', 'on', 'a', 'map']",between the caribbean sea and the pacific ocean linking north and south america," between the Caribbean Sea and the Pacific Ocean , linking North and South America",3703
where is the liver located in a human body,"['where', 'is', 'the', 'liver', 'located', 'in', 'a', 'human', 'body']",right upper quadrant of the abdomen below the diaphragm," right upper quadrant of the abdomen , below the diaphragm",3054
where is the majority of phosphorus stored on earth,"['where', 'is', 'the', 'majority', 'of', 'phosphorus', 'stored', 'on', 'earth']",rocks and minerals, rocks and minerals,5901
